DiameterBRAP2023,HeightBRAP2023,DiameterBRAP2024,HeightBRAP2024
4,31,4,42
3,8,1,8
2,6,2,14
1,6,2,26
1,5,4,36
1,3,4,35
1,3,1,10
4,27,3,31
2,14,3,24
5,57,2,13
4,40,3,35
3,52,3,26
2,27,3,43
2,27,5,73
2,14,2,48
3,52,3,26
2,14,,
5,57,4,49
3,10,3,25
3,35,3,44
3,41,5,35
2,13,5,42
3,16,3,23
2,13,,
4,22,,
3,21,2,19
3,25,,
4,27,3,26
3,25,3,14
3,25,3,21
6,50,4,22
6,55,3,24
3,28,2,10
2,10,,
2,12,2,16
5,51,2,18
4,46,3,31
2,6,4,39
2,11,3,29
4,46,1,9
4,43,4,28
4,40,1,8
4,46,4,35
4,45,5,36
2,10,,
2,12,,
2,25,3,36
2,11,2,25
3,21,4,49
3,30,5,53
2,13,4,41
4,35,3,19
2,10,3,17
3,17,2,13
2,14,3,43
3,19,5,53
3,25,1,12
5,35,3,25
3,31,2,17
2,15,1,11
2,16,3,26
4,25,2,15
2,17,4,23
3,20,4,55
6,52,,
4,27,,
2,11,4,31
2,15,2,14
3,36,3,21
3,12,2,13
2,17,,
3,22,2,29
1,5,3,27
2,20,2,23
2,20,2,14
3,26,5,53
1,4,5,59
1,5,2,10
2,13,2,23
2,20,2,15
2,16,3,30
2,26,3,28
2,17,2,23
3,31,4,22
2,15,3,35
1,4,2,23
1,10,3,31
1,13,3,34
2,16,,
1,9,3,17
3,27,1,9
2,13,5,35
1,10,3,19
1,9,4,32
1,6,3,23
2,22,,
3,25,4,37
1,12,4,38
3,21,3,48
2,15,7,70
3,23,4,42
3,36,4,58
2,11,,
3,22,5,41
2,11,4,36
2,21,,
3,25,,
2,19,4,27
3,21,2,10
3,34,9,94
2,13,3,24
2,11,4,34
2,12,1,8
3,42,3,20
2,16,2,4
1,12,2,9
3,32,3,13
2,16,3,27
2,12,3,24
3,23,3,27
1,10,4,24
2,24,2,16
2,17,2,16
2,16,7,61
1,10,4,42
3,42,3,14
3,37,1,5
2,20,3,21
4,35,1,5
3,35,1,6
3,40,4,42
3,35,4,36
4,59,4,7
1,10,1,9
1,8,2,15
3,27,1,10
3,29,4,42
1,11,3,36
2,21,1,7
3,43,2,9
3,16,2,15
2,19,1,10
2,18,4,46
1,14,3,28
1,10,1,6
1,7,2,11
2,12,2,12
2,26,1,7
4,25,3,21
2,15,2,9
1,9,1,5
2,11,2,14
1,10,4,30
2,24,1,6
1,10,9,121
2,20,7,91
2,11,11,148
2,14,7,98
1,10,5,40
1,12,3,33
3,24,7,78
2,12,7,79
1,6,8,88
1,9,3,20
2,17,3,30
2,19,2,13
2,10,2,11
1,6,2,20
2,9,2,18
2,11,3,22
1,7,3,28
1,8,4,42
2,33,2,18
2,10,1,4
1,8,2,15
2,11,2,14
2,20,3,20
2,9,2,21
2,16,3,18
3,35,1,7
2,10,3,18
3,40,3,18
2,12,4,28
1,5,3,16
4,50,4,24
2,17,4,41
1,9,1,8
1,10,4,22
2,11,6,55
1,13,2,14
2,13,3,30
2,11,3,21
2,20,2,14
,,5,46
,,4,35
2,12,4,38
2,23,3,21
2,20,2,16
2,14,5,42
2,16,3,11
2,13,2,13
3,27,4,28
2,11,2,13
2,10,4,49
2,31,5,57
1,10,3,25
2,9,3,34
3,24,3,32
1,7,4,40
2,15,3,33
2,19,3,29
6,60,2,14
7,85,1,11
6,25,3,29
4,40,7,72
3,37,1,10
6,55,2,30
3,43,2,16
2,30,2,17
3,53,2,33
2,30,4,31
2,11,5,42
2,15,1,3
2,21,3,30
2,18,3,16
2,15,2,19
2,10,3,33
2,11,2,12
5,78,2,21
2,10,2,29
3,22,1,4
3,25,3,19
2,21,1,6
1,10,3,30
1,10,1,12
1,10,3,26
1,12,2,30
1,12,2,15
1,12,2,19
1,12,1,5
1,12,2,13
3,34,3,31
1,11,3,32
2,20,3,24
4,34,2,28
3,35,3,36
2,16,2,20
2,17,3,35
1,10,4,20
1,10,2,13
1,11,2,23
1,10,5,49
2,21,3,28
1,14,3,42
1,10,3,21
5,50,1,10
3,30,3,37
3,39,2,18
2,10,,
3,23,1,7
1,10,5,57
1,10,,
1,7,,
3,28,5,49
2,19,3,24
3,21,6,47
2,14,5,37
2,13,12,108
2,14,7,57
3,27,3,31
3,31,3,24
1,8,13,75
2,20,4,51
2,11,3,27
4,37,3,39
1,6,1,9
2,15,,
2,13,,
2,14,,
2,15,4,25
2,12,2,21
5,65,1,18
7,88,2,24
8,113,2,16
7,69,,
3,33,,
4,48,,
6,82,,
10,135,,
7,84,,
2,15,,
3,37,,
2,11,,
3,21,,
3,23,,
2,22,,
2,17,,
2,21,,
2,12,,
2,20,,
2,18,,
3,28,,
2,20,,
2,10,,
3,25,,
5,58,,
3,25,,
3,24,,
3,19,,
3,26,,
4,32,,
2,12,,
3,22,,
2,20,,
2,12,,
3,26,,
2,11,,
3,34,,
2,16,,
3,30,,
3,13,,
3,20,,
4,42,,
2,12,,
2,13,,
3,31,,
2,15,,
4,41,,
3,19,,
3,18,,
2,15,,
2,15,,
3,35,,
1,10,,
2,20,,
2,16,,
2,15,,
2,11,,
2,8,,
3,38,,
3,18,,
3,24,,
2,17,,
2,23,,
3,43,,
3,16,,
3,25,,
4,35,,
4,43,,
3,15,,
3,21,,
2,18,,
3,23,,
2,10,,
1,8,,
1,7,,
3,25,,
2,12,,
1,6,,
1,4,,
4,38,,
2,16,,
1,6,,
2,11,,
1,4,,
2,14,,
3,29,,
1,3,,
4,42,,
5,58,,
2,9,,
2,12,,
1,4,,
3,18,,
1,9,,
2,23,,
2,17,,
2,27,,
2,10,,
1,8,,
2,15,,
3,27,,
1,3,,
3,28,,
2,17,,
1,8,,
2,10,,
1,6,,
1,4,,
3,27,,
1,5,,
3,16,,
2,15,,
1,11,,
1,9,,
1,5,,
2,20,,
2,5,,
1,9,,
1,4,,
4,40,,
1,14,,
1,8,,
2,6,,
,,,
4,29,,
3,22,,
5,30,,
3,22,,
6,20,,
2,14,,
5,23,,
1,8,,
5,35,,
10,89,,
3,35,,
2,19,,
5,22,,
3,42,,
9,68,,
,,,
4,12,,
4,39,,
2,17,,
1,6,,
2,15,,
2,11,,
4,46,,
3,32,,
1,10,,
,,,
4,21,,
5,14,,
1,5,,
2,12,,
5,32,,
4,45,,
5,59,,
6,18,,
2,13,,
3,24,,
2,20,,
4,42,,
2,13,,
2,15,,
,,,
,,,
,,,
6,52,,
7,60,,
3,27,,
6,39,,
2,10,,
3,24,,
2,16,,
3,36,,
3,22,,
2,11,,
3,23,,
