Year,Childs,Sheep,Upper Beasley,Lower Beasley,All
1985,0,0,0,0,0
1986,0,0,0,0,0
1987,0,1,0,0,1
1988,0,0,0,1,1
1989,1,0,0,0,1
1990,0,0,0,0,0
1991,1,0,2,0,3
1992,1,0,0,0,1
1993,2,1,3,1,7
1994,2,2,0,2,6
1995,4,1,0,0,5
1996,1,0,0,0,1
1997,5,0,4,5,14
1998,11,1,2,3,17
1999,4,4,0,2,10
2000,1,1,2,2,6
2001,3,2,1,4,10
2002,1,2,1,2,6
2003,2,2,1,0,5
2004,0,0,1,0,1
2005,1,0,1,3,5
2006,2,1,0,2,5
2007,1,2,0,2,5
2008,1,2,0,0,3
2009,1,0,0,1,2
2010,3,2,0,0,5
2011,0,0,0,1,1
2012,1,0,0,0,1
2013,0,0,0,0,0
2014,2,0,0,0,2
2015,0,0,0,0,0
2016,1,0,0,0,1
2017,0,0,0,0,0
2018,0,0,0,0,0
2019,0,0,0,0,0
2020,0,0,0,0,0
2021,0,0,0,0,0
2022,0,0,0,0,0
2023,0,0,0,0,0
