Diameter_BRAP_06-2024,Height_BRAP_06-2024,HDR_BRAP_06-2024
4,42,105
1,8,80
2,14,70
2,26,130
4,36,90
4,35,87.5
1,10,100
3,31,103.3333333
3,24,80
2,13,65
3,35,116.6666667
3,26,86.66666667
3,43,143.3333333
5,73,146
2,48,240
3,26,86.66666667
,49,122.5
4,25,83.33333333
3,44,146.6666667
3,35,70
5,42,84
5,23,76.66666667
3,19,95
,26,86.66666667
,14,46.66666667
2,21,70
,22,55
3,24,80
3,10,50
3,16,80
4,18,90
3,31,103.3333333
2,39,97.5
,29,96.66666667
2,9,90
2,28,70
3,8,80
4,35,87.5
3,36,72
1,36,120
4,25,125
1,49,122.5
4,53,106
5,41,102.5
,19,63.33333333
,17,56.66666667
3,13,65
2,43,143.3333333
4,53,106
5,12,120
4,25,83.33333333
3,17,85
3,11,110
2,26,86.66666667
3,15,75
5,23,57.5
1,55,137.5
3,31,77.5
2,14,70
1,21,70
3,13,65
2,29,145
4,27,90
4,23,115
,14,70
,53,106
4,59,118
2,10,50
3,23,115
2,15,75
,30,100
2,28,93.33333333
3,23,115
2,22,55
2,35,116.6666667
5,23,115
5,31,103.3333333
2,34,113.3333333
2,17,56.66666667
2,9,90
3,35,70
3,19,63.33333333
2,32,80
4,23,76.66666667
3,37,92.5
2,38,95
3,48,160
3,70,100
,42,105
3,58,145
1,41,82
5,36,90
3,27,67.5
4,10,50
3,94,104.4444444
,24,80
4,34,85
4,8,80
3,20,66.66666667
7,4,20
4,9,45
4,13,43.33333333
,27,90
5,24,80
4,27,90
,24,60
,16,80
4,16,80
2,61,87.14285714
9,42,105
3,14,46.66666667
4,5,50
1,21,70
3,5,50
2,6,60
2,42,105
3,36,90
3,7,17.5
3,9,90
3,15,75
4,10,100
2,42,105
2,36,120
7,7,70
4,9,45
3,15,75
1,10,100
3,46,115
1,28,93.33333333
1,6,60
4,11,55
4,12,60
4,7,70
1,21,70
2,9,45
1,5,50
4,14,70
3,30,75
1,6,60
2,121,134.4444444
2,91,130
1,148,134.5454545
4,98,140
3,40,80
1,33,110
2,78,111.4285714
2,79,112.8571429
1,88,110
3,20,66.66666667
2,30,100
1,13,65
2,11,55
4,20,100
1,18,90
9,22,73.33333333
7,28,93.33333333
11,42,105
7,18,90
5,4,40
3,15,75
7,14,70
7,20,66.66666667
8,21,105
3,18,60
3,7,70
2,18,60
2,18,60
2,28,70
2,16,53.33333333
3,24,60
3,41,102.5
4,8,80
2,22,55
1,55,91.66666667
2,14,70
2,30,100
3,21,70
2,14,70
3,46,92
1,35,87.5
3,38,95
3,21,70
4,16,80
3,42,84
4,11,36.66666667
4,13,65
1,28,70
4,13,65
6,49,122.5
2,57,114
3,25,83.33333333
3,34,113.3333333
2,32,106.6666667
5,40,100
4,33,110
4,29,96.66666667
3,14,70
2,11,110
5,29,96.66666667
3,72,102.8571429
2,10,100
4,30,150
2,16,80
4,17,85
5,33,165
3,31,77.5
3,42,84
3,3,30
4,30,100
3,16,53.33333333
3,19,95
2,33,110
1,12,60
3,21,105
7,29,145
1,4,40
2,19,63.33333333
2,6,60
2,30,100
2,12,120
4,26,86.66666667
5,30,150
1,15,75
3,19,95
3,5,50
2,13,65
3,31,103.3333333
2,32,106.6666667
2,24,80
2,28,140
1,36,120
3,20,100
1,35,116.6666667
3,20,50
1,13,65
3,23,115
2,49,98
2,28,93.33333333
2,42,140
1,21,70
2,10,100
3,37,123.3333333
3,18,90
3,7,70
2,57,114
3,49,98
2,24,80
3,47,78.33333333
4,37,74
2,108,90
2,57,81.42857143
5,31,103.3333333
3,24,80
3,75,57.69230769
3,51,127.5
1,27,90
3,39,130
2,9,90
,25,62.5
1,21,105
5,18,180
,24,120
,16,80
5,,
3,,
6,,
5,,
12,,
7,,
3,,
3,,
13,,
4,,
3,,
3,,
1,,
,,
,,
,,
4,,
2,,
1,,
2,,
2,,
